業態カテゴリ,ブランド名,運営会社,店舗数,加盟金（万円）,初期投資総額（万円）,ロイヤリティ,内装・設備費（推定・万円）,テナント料・店舗取得費（推定・万円）,契約期間,FC募集状況,備考
飲食/ハンバーガー,マクドナルド,日本マクドナルド,約2988,250,5000〜10000,売上の3%＋広告4.5%＋IF0.7%,3000〜6000（厨房設備・内装一式）,1000〜2000（既存店買取のため変動大）,20年,募集中（法人・個人可）,既存店買取方式。自己資金2500万円以上必要
飲食/ハンバーガー,モスバーガー,モスフードサービス,約1318,200,4000〜6260,売上の1%＋広告1%,2500〜4000（店舗設備一式）,500〜1500（物件により変動）,10年,募集中（法人・個人可）,ロイヤリティ1%は業界最低水準
飲食/ハンバーガー,ケンタッキー（KFC）,日本KFCホールディングス,約1200,250,約5000,売上の4〜5%,3000〜4000（厨房・内装）,500〜1000,5年,募集中（法人のみ）,契約更新料なし
飲食/ハンバーガー,サブウェイ,WATAMI FAST CASUAL MANAGEMENT,約180,約190（$12500）,非公開,非公開,非公開,非公開,非公開,募集中（ワタミ傘下で再展開）,2034年までに約1065店目標
飲食/牛丼,すき家,ゼンショーHD,約1960,-,-,-,-,-,-,FC募集なし（全店直営）,-
飲食/牛丼,吉野家,吉野家HD,約1200,150,500〜,売上の3%＋広告1%,非公開,非公開,5年,一般募集停止中（法人個別交渉のみ）,約30年ぶりのFC再検討段階
飲食/牛丼,松屋,松屋フーズ,約1265,150（参考）,非公開,売上の3%（参考）,非公開,非公開,10年（参考）,FC募集停止中,直営比率99.6%
飲食/定食,やよい軒,プレナス,約360,500,800〜860,売上の2〜6%（変動制）,本部負担（ユニットFC制度）,本部負担（ユニットFC制度）,5年,募集中（法人・個人可）,ユニットFC制度で本部が建物・設備を用意
飲食/定食,大戸屋,大戸屋HD（コロワイド）,約311,400,約5000,非公開（要問合せ）,2250（内外装費）,500〜1000（推定）,非公開,募集中（法人中心）,40坪モデル。店内調理へのこだわり
飲食/カレー,CoCo壱番屋,壱番屋（ハウス食品G）,約1245,0,6000〜8000,0円,4000〜6000（店舗設備一式・推定）,1000〜2000（推定）,非公開,社員のれん分けのみ（一般募集なし）,ブルームシステム：社員4〜5年勤務後に独立
飲食/ラーメン,天下一品,天一食品商事,約209,220,数千万,月額2.2万円（定額）,2000〜3000（厨房・内装・推定）,500〜1000（推定）,非公開,募集中（法人・個人可）,セントラルキッチン方式。研修費無料
飲食/ラーメン,幸楽苑,幸楽苑HD,約350,非公開,非公開,非公開,非公開,非公開,非公開,FC事業あり（詳細非公開）,東北〜関東中心
飲食/中華,餃子の王将,王将フードサービス,約731,0（社内独立）,300〜500（社内独立）,月3万円（社内独立）,非公開,非公開,非公開,社内独立制度中心,200名以上の社員がオーナーとして独立
飲食/居酒屋,鳥貴族,エターナルホスピタリティG,652,低額（非公開）,非公開,月額5万円（定額）,非公開,非公開,非公開,一般募集停止（社員・元社員のみ）,全品均一価格370円
飲食/カフェ,コメダ珈琲店,コメダHD,約1000,300（1号店）/150（2号店〜）,5000〜6000,席数×1500円/月（定額）,2000〜3000（内装・設備費）,1000〜2000（物件取得費）,非公開,募集中（法人・個人可）,FC比率約99%。定額ロイヤリティ
飲食/カフェ,ドトールコーヒー,ドトールコーヒー,約1000,150,5000超,売上の2%,3500〜4000（内装工事・厨房設備）,500〜1000（保証金300万含む）,非公開,募集中（法人・個人可）,年中無休7:30〜21:00が原則
飲食/カフェ,タリーズコーヒー,タリーズコーヒージャパン（伊藤園G）,約820,400,約8000,売上の5%＋販促2.5%,6000〜7000（工事費概算）,500〜1000（推定）,非公開,募集中（法人のみ）,初期投資が高額
飲食/台湾茶,ゴンチャ（Gong cha）,ゴンチャジャパン,176,200,3500〜4000,売上の3%＋広告3.5%,3000（設計管理工事費）,300〜500（推定）,非公開,募集中（法人推奨）,投資回収期間40ヶ月以内目標
飲食/宅配ピザ,ドミノ・ピザ,ドミノ・ピザジャパン,約1015,非公開（数百万規模）,1000〜2000,売上の5%,800〜1500（内装・設備・推定）,200〜500（推定）,5年,募集中（法人向け）,1店舗平均年商9000万〜1.1億円
飲食/弁当,ほっともっと,プレナス,約2426,100,約290,月額8万円（定額）,本部負担（建物・設備を全て用意）,本部負担,非公開,募集一時休止中,初期投資約290万円は業界屈指の低コスト
飲食/たこ焼き,築地銀だこ,ホットランドHD,約500,200,約2300,売上の5%,2000（店舗設備費）,200〜500（推定。商業施設内が多い）,5年,募集中（法人・個人可）,社員独立制度あり（加盟金100万円）
飲食/アイス,サーティワンアイスクリーム,B-Rサーティワン,約1165,200,500〜1200,売上の5%＋広告3%,300〜800（内装・機材。5坪〜対応）,100〜300（推定。商業施設内多い）,非公開,募集中（法人・個人可）,季節変動大（夏が繁忙期）
飲食/ドーナツ,ミスタードーナツ,ダスキン,約1041,300（参考）,2500〜3000,売上の5%（参考）,2200（内装・厨房設備費）,200〜500（推定）,非公開,新規募集休止中,客数5.2%増・客単価4.5%増と好調
飲食/パン,乃が美,乃が美HD,約116,非公開,非公開,売上の10%,非公開,非公開,不明,募集停止（トラブルにより）,⚠️失敗事例。9割が赤字化
飲食/唐揚げ,からやま,アークランドサービスHD,約121,500,8000〜8500,売上の3〜5%,6000〜7000（推定。店舗設備費が大半）,500〜1000（推定）,5年,募集中（法人中心）,初期投資が唐揚げ業態として高額
